Reference, Value, Footprint, Datasheet
"Q1","Q_NPN_BCE","Button_Switch_SMD:SW_SPST_B3U-3100P-B","~"
"R4","4.7k","Resistor_SMD:R_0201_0603Metric","~"
"R3","10k","Resistor_SMD:R_0201_0603Metric","~"
"R1","10k","Resistor_SMD:R_0201_0603Metric","~"
"Q2","Q_NPN_BCE","Button_Switch_SMD:SW_SPST_B3U-3100P-B","~"
"R6","4.7k","Resistor_SMD:R_0201_0603Metric","~"
"R5","10k","Resistor_SMD:R_0201_0603Metric","~"
"R2","10k","Resistor_SMD:R_0201_0603Metric","~"
"Q3","Q_NPN_BCE","Button_Switch_SMD:SW_SPST_B3U-3100P-B","~"
"R9","4.7k","Resistor_SMD:R_0201_0603Metric","~"
"R7","10k","Resistor_SMD:R_0201_0603Metric","~"
"R8","10k","Resistor_SMD:R_0201_0603Metric","~"
"Q4","Q_NPN_BCE","Button_Switch_SMD:SW_SPST_B3U-3100P-B","~"
"R12","4.7k","Resistor_SMD:R_0201_0603Metric","~"
"R10","10k","Resistor_SMD:R_0201_0603Metric","~"
"R11","10k","Resistor_SMD:R_0201_0603Metric","~"
"Q5","Q_NPN_BCE","Button_Switch_SMD:SW_SPST_B3U-3100P-B","~"
"R23","4.7k","Resistor_SMD:R_0201_0603Metric","~"
"R21","10k","Resistor_SMD:R_0201_0603Metric","~"
"R22","10k","Resistor_SMD:R_0201_0603Metric","~"
"R26","470","Resistor_SMD:R_0201_0603Metric","~"
"R28","10k","Resistor_SMD:R_0201_0603Metric","~"
"R27","10k","Resistor_SMD:R_0201_0603Metric","~"
"C1","22uF","Capacitor_SMD:C_0201_0603Metric","~"
"U2","my555","Socket:3M_Textool_240-1288-00-0602J_2x20_P2.54mm",""
"U1","my_595_shift","Socket:DIP_Socket-16_W4.3_W5.08_W7.62_W10.16_W10.9_3M_216-3340-00-0602J",""
"R25","10k","Resistor_SMD:R_0201_0603Metric","~"
"SW2","SW_Push","Battery:BatteryHolder_Bulgin_BX0036_1xC","~"
"SW1","SW_Push","Battery:BatteryHolder_Bulgin_BX0036_1xC","~"
"R24","470","Resistor_SMD:R_0201_0603Metric","~"
"R13","R","Resistor_SMD:R_0201_0603Metric","~"
"D1","LED","LED_THT:LED_D3.0mm","~"
"R14","R","Resistor_SMD:R_0201_0603Metric","~"
"D2","LED","LED_THT:LED_D3.0mm","~"
"R15","R","Resistor_SMD:R_0201_0603Metric","~"
"D3","LED","LED_THT:LED_D3.0mm","~"
"R16","R","Resistor_SMD:R_0201_0603Metric","~"
"D4","LED","LED_THT:LED_D3.0mm","~"
"R17","R","Resistor_SMD:R_0201_0603Metric","~"
"D5","LED","LED_THT:LED_D3.0mm","~"
"R18","R","Resistor_SMD:R_0201_0603Metric","~"
"D6","LED","LED_THT:LED_D3.0mm","~"
"R19","R","Resistor_SMD:R_0201_0603Metric","~"
"D7","LED","LED_THT:LED_D3.0mm","~"
"R20","R","Resistor_SMD:R_0201_0603Metric","~"
"D8","LED","LED_THT:LED_D3.0mm","~"
"J1","Conn_01x02","Connector:JWT_A3963_1x02_P3.96mm_Vertical","~"
